clip_name,absolute_time,time_in_clip,duration,midi_pitch,note_name,velocity,is_enabled,clip_start,clip_end,note_id
Funk Straight Beat 01 16th HH Closed (Clean),4.25,4.25,0.12083333333333333,49,C#3,13,True,0.0,16.0,24
bass,4.5,4.5,0.25,40,E2,100,True,0.0,16.0,11
Funk Straight Beat 01 16th HH Closed (Clean),4.5,4.5,0.12083333333333333,36,C2,79,True,0.0,16.0,26
Funk Straight Beat 01 16th HH Closed (Clean),4.5,4.5,0.12083333333333333,49,C#3,20,True,0.0,16.0,25
Funk Straight Beat 01 16th HH Closed (Clean),4.75,4.75,0.12083333333333333,49,C#3,32,True,0.0,16.0,27
bass,5.0,5.0,0.25,40,E2,100,False,0.0,16.0,12
Funk Straight Beat 01 16th HH Closed (Clean),5.0,5.0,0.12083333333333333,38,D2,109,True,0.0,16.0,29
Funk Straight Beat 01 16th HH Closed (Clean),5.0,5.0,0.12083333333333333,51,D#3,42,True,0.0,16.0,28
Funk Straight Beat 01 16th HH Closed (Clean),5.25,5.25,0.12083333333333333,36,C2,79,True,0.0,16.0,31
Funk Straight Beat 01 16th HH Closed (Clean),5.25,5.25,0.12083333333333333,49,C#3,2,True,0.0,16.0,30
bass,5.5,5.5,0.25,40,E2,100,True,0.0,16.0,13
Funk Straight Beat 01 16th HH Closed (Clean),5.5,5.5,0.12083333333333333,49,C#3,9,True,0.0,16.0,32
bass,5.75,5.75,0.25,40,E2,100,True,0.0,16.0,44
Funk Straight Beat 01 16th HH Closed (Clean),5.75,5.75,0.12083333333333333,49,C#3,21,True,0.0,16.0,33
